Timeslot,Period,,# of Div,C,J,M,B,S,Leader,LC
F13,Fish C,,1,1,,,,,1,2
F13,Football BS (Messer),,2,,,,1,1,1,1
F13,Minnow C,,1,1,,,,,2,1
F13,Crafts BS,,2,,,,1,1,1,1
F13,Lacrosse CJM (Clark 3),,3,1,1,1,,,1,1
F13,Pollywog/Guppy CJMBS,,5,1,1,1,1,1,2,
F13,Riflery S,,1,,,,,1,2,
F13,Sailing MBS,,3,,,1,1,1,2,2
F13,Street Hockey JM (Jr. Courts),,2,,1,1,,,1,
F13,Tower J,,1,,1,,,,2,
F13,Waterskiing C,,1,1,,,,,1,1
F13,Woodworking CJ,,2,1,1,,,,1,1
F13,Archery M ,,1,,,1,,,2,
F13,Nature CJM,,3,1,1,1,,,1,1
S11,12 Soccer (Clark 1&2),,3,1,1,1,,,2,
S11,12 Tennis (Sr. Courts),,3,1,1,1,,,2,
S11,16 Baseball (Clark 4),,3,,,1,1,1,2,
S11,16 Basketball (Pavilion),,3,,,1,1,1,2,
S11,Archery C,,1,1,,,,,2,
S11,Crafts BS,,2,,,,1,1,2,
S11,FF/S CJMBS,,5,1,1,1,1,1,2,1
S11,Fish JMBS,,4,,1,1,1,1,2,2
S11,Football CJM (Messer),,3,1,1,1,,,2,1
S11,Lacrosse CJ (Clark 3),,2,1,1,,,,1,1
S11,Nature CJM ,,3,1,1,1,,,2,1
S11,Paddle Sports BS,,2,,,,1,1,2,1
S11,Riflery M,,1,,,1,,,2,
S11,Sailing CJ,,2,1,1,,,,3,2
S11,Tennis MBS (Besserer Court),,3,,,1,1,1,2,1
S11,Tower B,,1,,,,1,,2,
S11,Volleyball BS (Cadet Beach),,2,,,,1,1,2,1
S11,Waterskiing S,,1,,,,,1,2,
S11,Woodworking CJM,,3,1,1,1,,,2,1
T21,12 Soccer (Clark 1&2),,3,1,1,1,,,2,
T21,16 Riflery,,3,,,1,1,1,2,
T21,Archery C,,1,1,,,,,2,
T21,Arts CJM,,3,1,1,1,,,1,1
T21,Street Hockey MBS (Sr. Court),,3,,,1,1,1,1,
T21,Fish JMBS,,4,,1,1,1,1,2,
T21,Kickball C (Cadet Field),,1,1,,,,,1,1
T21,Lacrosse CJ (Clark 3),,2,1,1,,,,1,1
T21,Minnow JMBS,,4,,1,1,1,1,2,1
T21,Ropes BS,,2,,,,1,1,2,1
T21,Sailing CJ,,2,1,1,,,,2,2
T21,Street Hockey CJ (Jr. Courts),,2,1,1,,,,1,1
T21,Tennis Baseball CJ (Messer Field),,2,1,1,,,,1,1
T21,Pickleball MB (Sr. Courts),,2,,,1,1,,1,1
T21,Tower C,,1,1,,,,,2,
T21,Ultimate MBS (Clark 4),,3,,,1,1,1,1,1
T21,Volleyball BS (Cadet Beach),,2,,,,1,1,2,
T21,Waterskiing J,,1,,1,,,,2,1
T21,Woodworking MBS,,3,,,1,1,1,1,
